State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Armenia,Males,  65 ,  70 ,  49 ,  65 ,  61 ,  47 ,  53 ,  64 ,  71 ,  72 ,  46 ,  52 ,  46 ,  44 ,  52 ,  54 ,  71
Azerbaijan,Females,,,,,,,,,,,  62 ,,  58 ,  70 ,  87 ,,  88
Azerbaijan,Males,,,,,,,,,,,  144 ,,  144 ,  151 ,  149 ,,  120
Bahrain,Females,,,,,,,,,,,,  2 ,,,,,
Bahrain,Males,,,,,,,,,,,,  5 ,,,,,
Cyprus,Females,,,,,  4 ,  2 ,  4 ,  3 ,  2 ,  7 ,  1 ,  6 ,  5 ,  3 ,  5 ,  2 ,  5
Cyprus,Males,,,,,  12 ,  18 ,  11 ,  10 ,  7 ,  12 ,  7 ,  3 ,  17 ,  9 ,  6 ,  13 ,  8
Georgia,Females,,,,,  34 ,  72 ,  45 ,  45 ,  43 ,  33 ,  28 ,,,,  33 ,,  34
Georgia,Males,,,,,  264 ,  331 ,  278 ,  285 ,  220 ,  177 ,  159 ,,,,  75 ,,  5
Iraq,Females,,,,,,,,,  628 ,  952 ,  482 ,  491 ,  510 ,  541 ,,,
Iraq,Males,,,,,,,,,  3968 ,  1602 ,  2209 ,  2143 ,  2187 ,  2798 ,,,
Iraq (Central Iraq),Females,,,,,,,,,  588 ,  923 ,  454 ,  459 ,  485 ,  517 ,  531 ,,
Iraq (Central Iraq),Males,,,,,,,,,  3864 ,  1535 ,  2099 ,  2059 ,  2109 ,  2711 ,  2498 ,,
Iraq (Kurdistan Region),Females,,,,,,,,,  62 ,  29 ,  28 ,  31 ,  24 ,  22 ,,,
Iraq (Kurdistan Region),Males,,,,,,,,,  82 ,  67 ,  110 ,  85 ,  79 ,  89 ,,,
Israel,Females,  37 ,  61 ,,  54 ,  46 ,  52 ,  45 ,  24 ,  30 ,  24 ,  32 ,  35 ,  25 ,,  23 ,,
Israel,Males,  110 ,  162 ,,  141 ,  127 ,  114 ,  137 ,  101 ,  106 ,  104 ,  113 ,  116 ,  109 ,,  95 ,,
Jordan,Females,,,,,,,,  29 ,  30 ,  36 ,  38 ,  28 ,  25 ,,,,  37
Jordan,Males,,,,,,,,  83 ,  90 ,  66 ,  78 ,  113 ,  136 ,,,,  108
Kuwait,Females,,,,  5 ,  11 ,  16 ,  6 ,  12 ,  11 ,  12 ,  13 ,  11 ,  10 ,,,,
Kuwait,Males,,,,  24 ,  32 ,  25 ,  39 ,  47 ,  27 ,  37 ,  47 ,  48 ,  51 ,,,,
Lebanon,Females,,,,,,,,,,,,,,,,  36 ,
Lebanon,Males,,,,,,,,,,,,,,,,  195 ,
Oman,Females,,,,,,,,,,,,,,,  5 ,,
Oman,Males,,,,,,,,,,,,,,,  21 ,,
Qatar,Females,,  1 ,,,  1 ,  4 ,  1 ,  3 ,  1 ,  2 ,  0   ,  0   ,  1 ,  1 ,  2 ,,
Qatar,Males,,  4 ,,,  4 ,  2 ,  4 ,  6 ,  11 ,  6 ,  4 ,  4 ,  6 ,  8 ,  7 ,,
Saudi Arabia,Females,,,,,,,,,,,,,,,,  157 ,
Saudi Arabia,Males,,,,,,,,,,,,,,,,  315 ,
State of Palestine,Females,,,,,,,,,,,  10 ,  3 ,  4 ,,,,
State of Palestine,Males,,,,,,,,,,,  22 ,  21 ,  22 ,,,,
Syrian Arab Republic,Females,,,,,,,,,,,  105 ,,,,,,
Syrian Arab Republic,Males,,,,,,,,,,,  358 ,,,,,,
Turkey,Females,,,,  588 ,  605 ,  608 ,  551 ,  615 ,  570 ,  1007 ,  634 ,  629 ,  606 ,,,,
Turkey,Males,,,,  2249 ,  2309 ,  2697 ,  2617 ,  2984 ,  2687 ,  2685 ,  2430 ,  2432 ,  2610 ,,,,
United Arab Emirates,Females,,,,,,,,,,,  18 ,  15 ,  17 ,  18 ,  16 ,  10 ,
United Arab Emirates,Males,,,,,,,,,,,  49 ,  36 ,  52 ,  39 ,  45 ,  50 ,
Yemen,Females,,,,,,,,,,,,,,  375 ,,,
Yemen,Males,,,,,,,,,,,,,,  1328 ,,,
Belarus,Females,,,,,,,,  222 ,  179 ,  198 ,  136 ,  117 ,  126 ,  103 ,  116 ,,
Belarus,Males,,,,,,,,  427 ,  362 ,  289 ,  265 ,  256 ,  214 ,  230 ,  224 ,,
Bulgaria,Females,  97 ,  62 ,  57 ,  52 ,  57 ,  52 ,  54 ,  38 ,  36 ,  35 ,  27 ,  30 ,  37 ,  34 ,  26 ,  29 ,  22
Bulgaria,Males,  235 ,  246 ,  198 ,  195 ,  187 ,  147 ,  132 ,  139 ,  136 ,  115 ,  121 ,  98 ,  104 ,  75 ,  90 ,  100 ,  59
Czechia,Females,  54 ,  53 ,  65 ,  58 ,  50 ,  45 ,  54 ,  55 ,  44 ,  38 ,  53 ,  44 ,  48 ,  51 ,  45 ,  49 ,  36
Czechia,Males,  127 ,  89 ,  84 ,  105 ,  84 ,  63 ,  76 ,  71 ,  70 ,  56 ,  50 ,  42 ,  57 ,  39 ,  36 ,  39 ,  29
Hungary,Females,  87 ,  85 ,  87 ,  91 ,  88 ,  76 ,  74 ,  63 ,  70 ,  63 ,  61 ,  42 ,  58 ,  71 ,  67 ,  102 ,  82
Hungary,Males,  118 ,  169 ,  116 ,  137 ,  121 ,  88 ,  100 ,  91 ,  111 ,  76 ,  77 ,  103 ,  66 ,  83 ,  79 ,  119 ,  120
Poland,Females,  229 ,  219 ,  204 ,  205 ,  154 ,  144 ,  140 ,  116 ,  125 ,  143 ,  134 ,  140 ,  102 ,  83 ,  75 ,,  70
Poland,Males,  626 ,  557 ,  512 ,  457 ,  479 ,  411 ,  350 ,  409 ,  335 ,  350 ,  302 ,  309 ,  275 ,  213 ,  207 ,,  186
Republic of Moldova,Females,  120 ,  120 ,  127 ,  107 ,  92 ,  100 ,  76 ,  68 ,  91 ,  71 ,  54 ,  56 ,  63 ,  56 ,  48 ,,
Republic of Moldova,Males,  313 ,  291 ,  274 ,  212 ,  185 ,  196 ,  186 ,  149 ,  145 ,  175 ,  213 ,  248 ,  166 ,  113 ,  82 ,,
Romania,Females,  161 ,  160 ,  176 ,  155 ,  166 ,  135 ,  139 ,  136 ,  156 ,  132 ,  133 ,  119 ,  126 ,  113 ,  99 ,  102 ,
Romania,Males,  420 ,  437 ,  387 ,  396 ,  350 ,  318 ,  299 ,  280 ,  314 ,  265 ,  271 ,  216 ,  252 ,  223 ,  199 ,  189 ,
Russian Federation,Females,  10337 ,  10756 ,  10716 ,  10305 ,  9641 ,  8849 ,  7215 ,  6196 ,  5722 ,  5342 ,,,,,,,
Russian Federation,Males,  30753 ,  32165 ,  33536 ,  31459 ,  29615 ,  26787 ,  21629 ,  19181 ,  18016 ,  16029 ,,,,,,,
Slovakia,Females,  34 ,  33 ,  49 ,  47 ,  36 ,  32 ,  15 ,  28 ,  24 ,  32 ,  31 ,  31 ,  18 ,  23 ,  33 ,  14 ,  20
Slovakia,Males,  95 ,  85 ,  72 ,  90 ,  72 ,  61 ,  67 ,  54 ,  62 ,  46 ,  51 ,  57 ,  45 ,  48 ,  36 ,  30 ,  37
Ukraine,Females,  1309 ,  1486 ,  1315 ,  1266 ,  1110 ,  959 ,  909 ,,  739 ,  705 ,  603 ,,,,,,
Ukraine,Males,  3109 ,  3368 ,  2981 ,  2775 ,  2377 ,  2071 ,  2049 ,,  1727 ,  1535 ,  1385 ,,,,,,
Denmark,Females,  28 ,  19 ,  12 ,  29 ,  16 ,  16 ,  10 ,  16 ,  17 ,  15 ,  22 ,  15 ,  16 ,  13 ,  31 ,  23 ,  23
Denmark,Males,  30 ,  33 ,  44 ,  36 ,  27 ,  37 ,  19 ,  23 ,  37 ,  32 ,  20 ,  31 ,  31 ,  35 ,  42 ,  33 ,  33
Estonia,Females,  26 ,  30 ,  32 ,  40 ,  16 ,  28 ,  25 ,  19 ,  19 ,  22 ,  16 ,  14 ,  17 ,  18 ,  9 ,  10 ,
Estonia,Males,  117 ,  107 ,  110 ,  107 ,  75 ,  85 ,  66 ,  77 ,  67 ,  48 ,  54 ,  51 ,  46 ,  34 ,  32 ,  32 ,
Finland,Females,  46 ,  48 ,  44 ,  30 ,  33 ,  35 ,  37 ,  48 ,  44 ,  34 ,  28 ,  37 ,  40 ,  24 ,  27 ,  16 ,  24
Finland,Males,  102 ,  108 ,  88 ,  73 ,  115 ,  84 ,  82 ,  81 ,  89 ,  86 ,  91 ,  73 ,  48 ,  65 ,  61 ,  66 ,  54
Iceland,Females,,,,,,  0   ,,  0   ,,  0   ,  0   ,  1 ,  1 ,  0   ,  2 ,  0   ,  1
Iceland,Males,,,,,,  3 ,,  2 ,,  1 ,  2 ,  2 ,  0   ,  1 ,  0   ,  3 ,  0
Ireland,Females,  8 ,  8 ,  11 ,  8 ,  5 ,  8 ,  16 ,  11 ,  10 ,  10 ,  7 ,  2 ,  13 ,  8 ,,,
Ireland,Males,  29 ,  44 ,  41 ,  29 ,  25 ,  44 ,  46 ,  67 ,  40 ,  46 ,  46 ,  41 ,  40 ,  44 ,,,
Latvia,Females,,,,,,,,,,,,,  37 ,  24 ,  37 ,  29 ,
Latvia,Males,,,,,,,,,,,,,  33 ,  26 ,  27 ,  38 ,
Lithuania,Females,  102 ,  89 ,  70 ,  104 ,  130 ,  100 ,  75 ,  72 ,  81 ,  64 ,  75 ,  66 ,  53 ,  60 ,  53 ,  49 ,  46
Lithuania,Males,  268 ,  264 ,  223 ,  240 ,  213 ,  272 ,  213 ,  205 ,  217 ,  188 ,  144 ,  145 ,  149 ,  138 ,  106 ,  123 ,  107
Norway,Females,  22 ,  15 ,  15 ,  24 ,  13 ,  14 ,  21 ,  17 ,  10 ,  12 ,  15 ,  52 ,  9 ,  20 ,  13 ,  14 ,  11
Norway,Males,  26 ,  22 ,  31 ,  27 ,  23 ,  19 ,  12 ,  13 ,  24 ,  17 ,  14 ,  59 ,  18 ,  26 ,  16 ,  10 ,  16
Sweden,Females,  37 ,  29 ,  36 ,  27 ,  41 ,  31 ,  36 ,  32 ,  28 ,  38 ,  27 ,  25 ,  21 ,  26 ,  25 ,  29 ,  29
Sweden,Males,  59 ,  58 ,  65 ,  58 ,  66 ,  52 ,  55 ,  79 ,  54 ,  55 ,  64 ,  56 ,  47 ,  61 ,  62 ,  83 ,  77
United Kingdom (England and Wales),Females,  315 ,  324 ,  342 ,  323 ,  322 ,  281 ,  298 ,  307 ,  262 ,  193 ,  257 ,  170 ,  222 ,  205 ,  199 ,  232 ,  269
United Kingdom (England and Wales),Males,  449 ,  469 ,  602 ,  452 ,  457 ,  427 ,  412 ,  422 ,  377 ,  402 ,  376 ,  356 ,  321 ,  316 ,  312 ,  336 ,  440
United Kingdom (Northern Ireland),Females,,,,,,  7 ,  7 ,  7 ,  4 ,  5 ,  5 ,  4 ,  3 ,  5 ,  7 ,  4 ,  2
United Kingdom (Northern Ireland),Males,,,,,,  24 ,  23 ,  22 ,  20 ,  24 ,  18 ,  18 ,  18 ,  15 ,  10 ,  19 ,  16
United Kingdom (Scotland),Females,  36 ,  22 ,  20 ,  15 ,  27 ,  13 ,  20 ,  24 ,  28 ,  27 ,  21 ,  20 ,  12 ,  15 ,  15 ,  16 ,  16
United Kingdom (Scotland),Males,  70 ,  94 ,  105 ,  94 ,  110 ,  82 ,  100 ,  91 ,  71 ,  55 ,  79 ,  73 ,  51 ,  47 ,  47 ,  42 ,  48
United Kingdom of Great Britain and Northern Ireland,Females,,,,,,  312 ,  339 ,  349 ,  300 ,  225 ,  291 ,  194 ,  244 ,  230 ,  224 ,  257 ,  291
United Kingdom of Great Britain and Northern Ireland,Males,,,,,,  522 ,  521 ,  524 ,  462 ,  481 ,  465 ,  447 ,  383 ,  373 ,  366 ,  392 ,  500
Albania,Females,  13 ,  39 ,  39 ,  21 ,  19 ,  21 ,  23 ,  24 ,  19 ,  7 ,  19 ,  22 ,  26 ,  24 ,  13 ,  14 ,  15
Albania,Males,  118 ,  181 ,  177 ,  145 ,  112 ,  133 ,  72 ,  81 ,  74 ,  78 ,  108 ,  120 ,  131 ,  100 ,  104 ,  52 ,  64
Andorra,Females,,,,,,,,  0   ,  1 ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,
Andorra,Males,,,,,,,,  0   ,  0   ,  0   ,  0   ,  1 ,  0   ,  0   ,  0   ,  0   ,
Bosnia and Herzegovina,Females,  20 ,  29 ,  25 ,,,,,,,  15 ,  10 ,  16 ,  24 ,  14 ,  11 ,  18 ,  15
Bosnia and Herzegovina,Males,  79 ,  53 ,  65 ,,,,,,,  56 ,  46 ,  35 ,  39 ,  32 ,  39 ,  39 ,  30
Croatia,Females,  32 ,  28 ,  32 ,  22 ,  37 ,  27 ,  32 ,  24 ,  24 ,  24 ,  32 ,  21 ,  18 ,  21 ,  17 ,  15 ,  20
Croatia,Males,  69 ,  53 ,  41 ,  47 ,  46 ,  41 ,  42 ,  38 ,  47 ,  25 ,  30 ,  28 ,  33 ,  25 ,  19 ,  22 ,  24
Greece,Females,,  36 ,  24 ,  33 ,  30 ,  44 ,  22 ,  35 ,  33 ,  25 ,  34 ,  32 ,  39 ,  50 ,  27 ,  30 ,  26
Greece,Males,,  96 ,  71 ,  89 ,  81 ,  88 ,  88 ,  95 ,  111 ,  127 ,  142 ,  152 ,  127 ,  103 ,  80 ,  63 ,  58
Holy See,Females,,,,,,,,,,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,
Holy See,Males,,,,,,,,,,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,
Italy,Females,  191 ,  171 ,  183 ,  198 ,,  136 ,  178 ,  150 ,  148 ,  173 ,  154 ,  166 ,  163 ,  179 ,  147 ,  136 ,  149
Italy,Males,  575 ,  538 ,  461 ,  521 ,,  474 ,  447 ,  481 ,  467 ,  417 ,  375 ,  386 ,  367 ,  323 ,  328 ,  333 ,  251
Kosovo under UNSCR 1244,Females,,,,,,,,,  26 ,  11 ,  20 ,  9 ,  11 ,  4 ,  6 ,  5 ,  4
Kosovo under UNSCR 1244,Males,,,,,,,,,  87 ,  62 ,  86 ,  53 ,  79 ,  37 ,  35 ,  25 ,  25
Malta,Females,,,,,  4 ,  2 ,  0   ,  1 ,  1 ,  3 ,  1 ,  3 ,  3 ,  0   ,  1 ,  2 ,
Malta,Males,,,,,  3 ,  2 ,  0   ,  3 ,  5 ,  1 ,  3 ,  0   ,  9 ,  7 ,  5 ,  2 ,
Montenegro,Females,,,,,,,,  3 ,  5 ,  7 ,  7 ,  3 ,  3 ,  1 ,  4 ,  3 ,  3
Montenegro,Males,,,,,,,,  9 ,  19 ,  14 ,  8 ,  18 ,  14 ,  9 ,  16 ,  14 ,  25
Portugal,Females,  36 ,  25 ,  37 ,  33 ,  39 ,  33 ,  42 ,  52 ,  36 ,  38 ,  42 ,  39 ,  41 ,  52 ,  48 ,,
Portugal,Males,  80 ,  80 ,  82 ,  116 ,  105 ,  102 ,  113 ,  133 ,  88 ,  92 ,  82 ,  75 ,  81 ,  92 ,  44 ,,
San Marino,Females,  0   ,  0   ,  1 ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,,,,,
San Marino,Males,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,,,,,
Serbia,Females,  60 ,  76 ,  56 ,  67 ,  51 ,  45 ,  51 ,  55 ,  38 ,  38 ,  42 ,  39 ,  38 ,  47 ,  38 ,  31 ,  41
Serbia,Males,  168 ,  167 ,  144 ,  109 ,  113 ,  102 ,  105 ,  116 ,  102 ,  116 ,  88 ,  96 ,  73 ,  95 ,  82 ,  73 ,  82
Slovenia,Females,,,,,  7 ,  10 ,  3 ,  8 ,  5 ,  7 ,  8 ,  7 ,  6 ,  3 ,  6 ,  11 ,  2
Slovenia,Males,,,,,  20 ,  10 ,  9 ,  16 ,  5 ,  6 ,  7 ,  9 ,  8 ,  9 ,  11 ,  9 ,  8
Spain,Females,,  133 ,  134 ,  171 ,  188 ,  129 ,  160 ,  167 ,  127 ,  136 ,  156 ,  128 ,  125 ,  121 ,  128 ,  121 ,  113
Spain,Males,,  444 ,  430 ,  416 ,  332 ,  389 ,  316 ,  315 ,  280 ,  276 ,  245 ,  257 ,  239 ,  181 ,  195 ,  181 ,  181
The former Yugoslav Republic of Macedonia,Females,  12 ,,  9 ,  17 ,  12 ,  9 ,  9 ,  11 ,  9 ,  12 ,  15 ,  4 ,  11 ,  7 ,  10 ,,
The former Yugoslav Republic of Macedonia,Males,  35 ,,  51 ,  53 ,  37 ,  35 ,  37 ,  31 ,  26 ,  23 ,  28 ,  26 ,  18 ,  15 ,  23 ,,
Austria,Females,  54 ,  42 ,  38 ,  23 ,  32 ,  24 ,  29 ,  24 ,  29 ,  28 ,  30 ,  35 ,  38 ,  30 ,  23 ,  17 ,  32
Austria,Males,  28 ,  28 ,  27 ,  27 ,  27 ,  30 ,  32 ,  21 ,  29 ,  23 ,  28 ,  40 ,  41 ,  32 ,  22 ,  29 ,  25
Belgium,Females,  83 ,  103 ,  132 ,  94 ,  126 ,  92 ,  88 ,  87 ,  71 ,  76 ,  69 ,  92 ,  77 ,  99 ,  80 ,,
Belgium,Males,  129 ,  179 ,  187 ,  136 ,  142 ,  129 ,  133 ,  124 ,  132 ,  113 ,  120 ,  122 ,  128 ,  106 ,  128 ,,
France,Females,,,,,,,,,,,,,,,,  384 ,  343
France,Males,,,,,,,,,,,,,,,,  633 ,  532
Germany,Females,  473 ,  393 ,  440 ,  381 ,  398 ,  391 ,  387 ,  362 ,  337 ,  386 ,  393 ,  338 ,  296 ,  328 ,  339 ,  327 ,  469
Germany,Males,  542 ,  532 ,  515 ,  478 ,  470 ,  478 ,  421 ,  395 ,  385 ,  417 ,  400 ,  400 ,  363 ,  354 ,  377 ,  355 ,  494
Liechtenstein,Females,,,,,,,,,,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0
Liechtenstein,Males,,,,,,,,,,  0   ,  1 ,  0   ,  0   ,  0   ,  1 ,  0   ,  0
Luxembourg,Females,,  4 ,,,  1 ,,  2 ,  3 ,,  0   ,  5 ,  0   ,  0   ,,  2 ,,
Luxembourg,Males,,  5 ,,,  1 ,,  5 ,  4 ,,  5 ,  5 ,  4 ,  0   ,,  2 ,,
Monaco,Females,,,,,,,,,,,,,,  0   ,,  0   ,
Monaco,Males,,,,,,,,,,,,,,  0   ,,  0   ,
Netherlands,Females,  60 ,  68 ,  61 ,  73 ,  53 ,  57 ,  49 ,  47 ,  47 ,  50 ,  54 ,  50 ,  50 ,  56 ,  30 ,  42 ,  30
Netherlands,Males,  120 ,  134 ,  134 ,  129 ,  138 ,  117 ,  79 ,  96 ,  103 ,  104 ,  90 ,  93 ,  95 ,  69 ,  93 ,  62 ,  64
Switzerland,Females,  39 ,  37 ,  49 ,  39 ,  38 ,  38 ,  38 ,  26 ,  25 ,  27 ,  26 ,  23 ,  17 ,  32 ,  24 ,  30 ,  25
Switzerland,Males,  30 ,  49 ,  37 ,  34 ,  40 ,  38 ,  22 ,  25 ,  29 ,  24 ,  26 ,  23 ,  28 ,  25 ,  17 ,  27 ,  20
Australia,Females,  136 ,  116 ,  121 ,  109 ,  106 ,  97 ,  92 ,  87 ,  100 ,  74 ,  93 ,  90 ,  83 ,  94 ,  94 ,  84 ,  80
Australia,Males,  226 ,  231 ,  245 ,  232 ,  196 ,  162 ,  189 ,  168 ,  161 ,  189 ,  138 ,  158 ,  160 ,  151 ,  149 ,  152 ,  147
New Zealand,Females,  21 ,  21 ,  27 ,  14 ,  12 ,  27 ,  17 ,  19 ,  23 ,  25 ,  23 ,  15 ,  21 ,  12 ,  14 ,,
New Zealand,Males,  31 ,  30 ,  33 ,  30 ,  33 ,  34 ,  32 ,  29 ,  28 ,  42 ,  20 ,  24 ,  20 ,  34 ,  31 ,,
Fiji,Females,,,,,,  9 ,  12 ,  18 ,  10 ,  8 ,  6 ,  9 ,  7 ,  8 ,  12 ,,
Fiji,Males,,,,,,  14 ,  10 ,  3 ,  7 ,  21 ,  14 ,  11 ,  13 ,  11 ,  8 ,,
Papua New Guinea,Females,,,,,,,,  119 ,,,,,,,,,
Papua New Guinea,Males,,,,,,,,  401 ,,,,,,,,,
Solomon Islands,Females,,,,,,,,,  4 ,,,,,,,,
Solomon Islands,Males,,,,,,,,,  15 ,,,,,,,,
Vanuatu,Females,,,,,,,,,,,,,,,,  1 ,
Vanuatu,Males,,,,,,,,,,,,,,,,  4 ,
Guam,Females,,,,,,,,,,,,  1 ,,,,,
Guam,Males,,,,,,,,,,,,  3 ,,,,,
Kiribati,Females,,,,,,,,,,,,,  2 ,,,,
Kiribati,Males,,,,,,,,,,,,,  6 ,,,,
Micronesia,Females,,,,,,,,,,,,,,,,  1 ,
Micronesia,Males,,,,,,,,,,,,,,,,  4 ,
American Samoa,Females,,,,,,,,,,,,,,,,  1 ,
American Samoa,Males,,,,,,,,,,,,,,,,  3 ,
Samoa,Females,,,,,,,,,,,,,,  1 ,,,
Samoa,Males,,,,,,,,,,,,,,  5 ,,,
Tonga,Females,  0   ,  1 ,  1 ,  0   ,  0   ,  0   ,  0   ,  0   ,  1 ,  3 ,  0   ,  0   ,  1 ,,,,
Tonga,Males,  1 ,  5 ,  5 ,  6 ,  2 ,  4 ,  8 ,  1 ,  3 ,  5 ,  1 ,  2 ,  0   ,,,,
