State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gambia,Females,,,,,,,,,,,,,,,,  18 ,
Gambia,Males,,,,,,,,,,,,,,,,  163 ,
Ghana,Females,,,,,,,,,,,,  125 ,,,,,
Ghana,Males,,,,,,,,,,,,  298 ,,,,,
Guinea,Females,,,,,,,,,,,,,,,,  231 ,
Guinea,Males,,,,,,,,,,,,,,,,  836 ,
Guinea-Bissau,Females,,,,,,,,,,,,,,,,  77 ,
Guinea-Bissau,Males,,,,,,,,,,,,,,,,  92 ,
Liberia,Females,,,,,,,,,,,,,  29 ,,,,
Liberia,Males,,,,,,,,,,,,,  106 ,,,,
Mali,Females,,,,,,,,,,,,,,,,  445 ,
Mali,Males,,,,,,,,,,,,,,,,  1459 ,
Mauritania,Females,,,,,,,,,,,,,,,,  107 ,
Mauritania,Males,,,,,,,,,,,,,,,,  308 ,
Niger,Females,,,,,,,,,,,,,  173 ,,,,
Niger,Males,,,,,,,,,,,,,  615 ,,,,
Nigeria,Females,,,,,,,,,,,,,,,,  4441 ,
Nigeria,Males,,,,,,,,,,,,,,,,  13402 ,
Senegal,Females,,,,,,,,,,,,,,,,  204 ,
Senegal,Males,,,,,,,,,,,,,,,,  901 ,
Sierra Leone,Females,,,,,,,,,,,,,,,,  27 ,
Sierra Leone,Males,,,,,,,,,,,,,,,,  97 ,
Togo,Females,,,,,,,,,,,,,,,,  118 ,
Togo,Males,,,,,,,,,,,,,,,,  549 ,
Antigua and Barbuda,Females,,  1 ,  1 ,,,,,,  5 ,,,,,,,,
Antigua and Barbuda,Males,,  6 ,  4 ,,,,,,  11 ,,,,,,,,
Aruba,Females,,  2 ,  1 ,  1 ,  0   ,  1 ,  1 ,  0   ,  1 ,  1 ,  0   ,  0   ,  1 ,  1 ,  0   ,,
Aruba,Males,,  2 ,  4 ,  3 ,  2 ,  5 ,  4 ,  3 ,  4 ,  3 ,  4 ,  2 ,  3 ,  5 ,  2 ,,
Bahamas,Females,  16 ,  5 ,  12 ,  6 ,  2 ,  8 ,  5 ,  8 ,  7 ,  10 ,  14 ,  16 ,  10 ,,,,
Bahamas,Males,  58 ,  38 ,  40 ,  44 ,  42 ,  44 ,  56 ,  70 ,  66 ,  77 ,  80 ,  111 ,  101 ,,,,
